updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,CONST. QUES,,,,,,,NO,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:wright,646,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,CONST. QUES,,,,,,,YES,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:wright,236,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,U.S REPRESENTATIVE,5,,,,,,SC,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:wright,28,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,U.S REPRESENTATIVE,5,,,,,,REP,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:wright,689,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,U.S REPRESENTATIVE,5,,,,,,DEM,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:wright,301,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,PRESIDENT,,,,,,,SC,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:wright,13,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,PRESIDENT,,,,,,,GREEN,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:wright,19,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,PRESIDENT,,,,,,,REP,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:wright,555,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,PRESIDENT,,,,,,,DEM,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:wright,463,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,IOWA SENATE,8,,,,,,SC,,ABS & SP BALLOTS SEN 08,ocd-division/country:us/state:ia/county:wright,1,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,IOWA SENATE,8,,,,,,REP,,ABS & SP BALLOTS SEN 08,ocd-division/country:us/state:ia/county:wright,119,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,IOWA SENATE,8,,,,,,DEM,,ABS & SP BALLOTS SEN 08,ocd-division/country:us/state:ia/county:wright,93,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,IOWA HOUSE,17,,,,,,SC,,ABS & SP BALLOTS HSE 17,ocd-division/country:us/state:ia/county:wright,2,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,IOWA HOUSE,17,,,,,,OTH,,ABS & SP BALLOTS HSE 17,ocd-division/country:us/state:ia/county:wright,43,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,IOWA HOUSE,17,,,,,,REP,,ABS & SP BALLOTS HSE 17,ocd-division/country:us/state:ia/county:wright,621,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,IOWA HOUSE,16,,,,,,SC,,ABS & SP BALLOTS HSE 16,ocd-division/country:us/state:ia/county:wright,1,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,IOWA HOUSE,16,,,,,,REP,,ABS & SP BALLOTS HSE 16,ocd-division/country:us/state:ia/county:wright,151,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,CONST. QUES,,,,,,,NO,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:worth,248,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,CONST. QUES,,,,,,,YES,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:worth,95,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,U.S REPRESENTATIVE,2,,,,,,SC,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:worth,3,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,U.S REPRESENTATIVE,2,,,,,,REP,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:worth,279,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,U.S REPRESENTATIVE,2,,,,,,DEM,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:worth,180,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,PRESIDENT,,,,,,,SC,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:worth,7,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,PRESIDENT,,,,,,,GREEN,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:worth,15,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,PRESIDENT,,,,,,,REP,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:worth,193,absentee_provisional,,,,2000
2015-12-31 10:26:20.275000,ia-2000-11-07-general,2000-11-07 00:00:00,2000-11-07 00:00:00,general,certified,False,PRESIDENT,,,,,,,DEM,,ABSENTEE & SPECIAL BALLOTS,ocd-division/country:us/state:ia/county:worth,261,absentee_provisional,,,,2000
