fips,name,dem_total,gop_total,other_total,novote_total,grand_total,leader,leader_total,margin
19001,Adair,1790,2114,92,24,4020,gop,2114,324
19003,Adams,1028,1108,49,21,2206,gop,1108,80
19005,Allamakee,3553,3264,117,69,7003,dem,3553,289
19007,Appanoose,2951,3161,133,51,6296,gop,3161,210
19009,Audubon,1611,1802,44,49,3506,gop,1802,191
19011,Benton,6862,6940,221,84,14107,gop,6940,78
19013,Black Hawk,39821,26235,1085,327,67468,dem,39821,13586
19015,Boone,7512,6556,320,74,14462,dem,7512,956
19017,Bremer,6763,6405,178,53,13399,dem,6763,358
19019,Buchanan,5911,4450,174,67,10602,dem,5911,1461
19021,Buena Vista,3700,4554,129,48,8431,gop,4554,854
19023,Butler,3329,4106,110,30,7575,gop,4106,777
19025,Calhoun,2238,2891,101,38,5268,gop,2891,653
19027,Carroll,4947,5601,126,85,10759,gop,5601,654
19029,Cass,2858,4217,130,36,7241,gop,4217,1359
19031,Cedar,4972,4529,148,53,9702,dem,4972,443
19033,Cerro Gordo,13316,10128,380,114,23938,dem,13316,3188
19035,Cherokee,2634,3662,119,24,6439,gop,3662,1028
19037,Chickasaw,3554,2836,94,37,6521,dem,3554,718
19039,Clarke,2189,2124,117,28,4458,dem,2189,65
19041,Clay,3385,4951,166,66,8568,gop,4951,1566
19043,Clayton,4806,4164,168,62,9200,dem,4806,642
19045,Clinton,15141,9432,427,89,25089,dem,15141,5709
19047,Crawford,3066,3595,91,78,6830,gop,3595,529
19049,Dallas,16576,20988,552,68,38184,gop,20988,4412
19051,Davis,1520,2138,115,75,3848,gop,2138,618
19053,Decatur,1791,1947,95,45,3878,gop,1947,156
19055,Delaware,4616,4636,126,27,9405,gop,4636,20
19057,Des Moines,11888,8136,361,120,20505,dem,11888,3752
19059,Dickinson,4095,5912,152,41,10200,gop,5912,1817
19061,Dubuque,28768,21280,846,256,51150,dem,28768,7488
19063,Emmet,2099,2507,81,29,4716,gop,2507,408
19065,Fayette,5732,4492,142,34,10400,dem,5732,1240
19067,Floyd,4680,3472,105,52,8309,dem,4680,1208
19069,Franklin,2266,2823,97,38,5224,gop,2823,557
19071,Fremont,1637,1972,59,37,3705,gop,1972,335
19073,Greene,2375,2380,91,45,4891,gop,2380,5
19075,Grundy,2635,4215,112,19,6981,gop,4215,1580
19077,Guthrie,2569,3171,148,32,5920,gop,3171,602
19079,Hamilton,3782,3991,154,52,7979,gop,3991,209
19081,Hancock,2521,3317,87,21,5946,gop,3317,796
19083,Hardin,4075,4670,153,44,8942,gop,4670,595
19085,Harrison,3136,4065,121,35,7357,gop,4065,929
19087,Henry,4460,5035,202,89,9786,gop,5035,575
19089,Howard,2768,1795,82,20,4665,dem,2768,973
19091,Humboldt,1972,3099,87,31,5189,gop,3099,1127
19093,Ida,1321,2286,56,25,3688,gop,2286,965
19095,Iowa,4144,4569,153,35,8901,gop,4569,425
19097,Jackson,5907,4177,158,88,10330,dem,5907,1730
19099,Jasper,10257,8877,381,91,19606,dem,10257,1380
19101,Jefferson,4798,3436,296,54,8584,dem,4798,1362
19103,Johnson,50666,23698,1613,222,76199,dem,50666,26968
19105,Jones,5534,4721,194,43,10492,dem,5534,813
19107,Keokuk,2303,2843,120,58,5324,gop,2843,540
19109,Kossuth,3850,4937,136,64,8987,gop,4937,1087
19111,Lee,10714,7785,412,180,19091,dem,10714,2929
19113,Linn,68581,47622,2250,258,118711,dem,68581,20959
19115,Louisa,2452,2420,96,40,5008,dem,2452,32
19117,Lucas,1987,2254,82,41,4364,gop,2254,267
19119,Lyon,1423,4978,108,72,6581,gop,4978,3555
19121,Madison,3630,4638,190,51,8509,gop,4638,1008
19123,Mahaska,4213,6448,222,68,10951,gop,6448,2235
19125,Marion,7507,9828,352,65,17752,gop,9828,2321
19127,Marshall,10257,8472,335,128,19192,dem,10257,1785
19129,Mills,2848,4216,148,33,7245,gop,4216,1368
19131,Mitchell,2831,2643,112,50,5636,dem,2831,188
19133,Monona,2101,2557,84,37,4779,gop,2557,456
19135,Monroe,1731,2026,73,33,3863,gop,2026,295
19137,Montgomery,1922,3001,102,33,5058,gop,3001,1079
19139,Muscatine,11323,8168,374,71,19936,dem,11323,3155
19141,O'Brien,1969,5266,106,26,7367,gop,5266,3297
19143,Osceola,912,2230,52,24,3218,gop,2230,1318
19145,Page,2613,4348,118,30,7109,gop,4348,1735
19147,Palo Alto,2139,2660,88,42,4929,gop,2660,521
19149,Plymouth,4164,8597,189,49,12999,gop,8597,4433
19151,Pocahontas,1523,2396,113,37,4069,gop,2396,873
19153,Polk,128465,96096,4321,1174,230056,dem,128465,32369
19155,Pottawattamie,19644,21860,797,172,42473,gop,21860,2216
19157,Poweshiek,5357,4424,194,60,10035,dem,5357,933
19159,Ringgold,1186,1368,45,20,2619,gop,1368,182
19161,Sac,2122,3094,75,31,5322,gop,3094,972
19163,Scott,50652,38251,1360,240,90503,dem,50652,12401
19165,Shelby,2469,3911,103,65,6548,gop,3911,1442
19167,Sioux,2700,14407,201,46,17354,gop,14407,11707
19169,Story,26192,19668,1290,115,47265,dem,26192,6524
19171,Tama,4768,4098,151,50,9067,dem,4768,670
19173,Taylor,1262,1683,50,24,3019,gop,1683,421
19175,Union,3043,2813,101,25,5982,dem,3043,230
19177,Van Buren,1402,2064,103,30,3599,gop,2064,662
19179,Wapello,8663,6789,318,67,15837,dem,8663,1874
19181,Warren,12551,13052,469,112,26184,gop,13052,501
19183,Washington,5115,5562,327,68,11072,gop,5562,447
19185,Wayne,1251,1583,66,15,2915,gop,1583,332
19187,Webster,9537,8469,286,101,18393,dem,9537,1068
19189,Winnebago,2903,2906,109,36,5954,gop,2906,3
19191,Winneshiek,6256,4622,206,74,11158,dem,6256,1634
19193,Woodbury,22302,21841,876,273,45292,dem,22302,461
19195,Worth,2350,1744,78,29,4201,dem,2350,606
19197,Wright,2836,3349,93,27,6305,gop,3349,513
