office,district,candidate,party,reporting_level,jurisdiction,vote_type,votes
President/Vice President,,Trump,GOP,county,Boone,,7458
President/Vice President,,Clinton,Dem,county,Boone,,5517
President/Vice President,,Johnson,Lib,county,Boone,,643
President/Vice President,,McMullin,PEC,county,Boone,,158
President/Vice President,,Stein,Grn,county,Boone,,104
President/Vice President,,Castle,CST,county,Boone,,56
President/Vice President,,Kahn,Oth,county,Boone,,22
President/Vice President,,Vacek,LMN,county,Boone,,20
President/Vice President,,De La Fuente,PEC,county,Boone,,6
President/Vice President,,La Riva,PSL,county,Boone,,0
President/Vice President,,Trump,GOP,county,Bremer,,7199
President/Vice President,,Clinton,Dem,county,Bremer,,5349
President/Vice President,,Johnson,Lib,county,Bremer,,543
President/Vice President,,McMullin,PEC,county,Bremer,,87
President/Vice President,,Stein,Grn,county,Bremer,,81
President/Vice President,,Castle,CST,county,Bremer,,54
President/Vice President,,Vacek,LMN,county,Bremer,,21
President/Vice President,,Kahn,Oth,county,Bremer,,10
President/Vice President,,De La Fuente,PEC,county,Bremer,,5
President/Vice President,,La Riva,PSL,county,Bremer,,1
President/Vice President,,Trump,GOP,county,Benton,,8226
President/Vice President,,Clinton,Dem,county,Benton,,4672
President/Vice President,,Johnson,Lib,county,Benton,,540
President/Vice President,,Stein,Grn,county,Benton,,86
President/Vice President,,McMullin,PEC,county,Benton,,70
President/Vice President,,Castle,CST,county,Benton,,61
President/Vice President,,Kahn,Oth,county,Benton,,17
President/Vice President,,Vacek,LMN,county,Benton,,12
President/Vice President,,La Riva,PSL,county,Benton,,4
President/Vice President,,De La Fuente,PEC,county,Benton,,2
President/Vice President,,Trump,GOP,county,Black Hawk,,27382
President/Vice President,,Clinton,Dem,county,Black Hawk,,32006
President/Vice President,,Johnson,Lib,county,Black Hawk,,2357
President/Vice President,,Stein,Grn,county,Black Hawk,,601
President/Vice President,,McMullin,PEC,county,Black Hawk,,483
President/Vice President,,Castle,CST,county,Black Hawk,,202
President/Vice President,,Vacek,LMN,county,Black Hawk,,97
President/Vice President,,Kahn,Oth,county,Black Hawk,,60
President/Vice President,,De La Fuente,PEC,county,Black Hawk,,22
President/Vice President,,La Riva,PSL,county,Black Hawk,,11
President/Vice President,,Trump,GOP,county,Buchanan,,5504
President/Vice President,,Clinton,Dem,county,Buchanan,,3966
President/Vice President,,Johnson,Lib,county,Buchanan,,478
President/Vice President,,Castle,CST,county,Buchanan,,58
President/Vice President,,Stein,Grn,county,Buchanan,,54
President/Vice President,,McMullin,PEC,county,Buchanan,,48
President/Vice President,,Kahn,Oth,county,Buchanan,,17
President/Vice President,,Vacek,LMN,county,Buchanan,,9
President/Vice President,,De La Fuente,PEC,county,Buchanan,,2
President/Vice President,,La Riva,PSL,county,Buchanan,,1
President/Vice President,,Trump,GOP,county,Ringgold,,1820
President/Vice President,,Clinton,Dem,county,Ringgold,,753
President/Vice President,,Johnson,Lib,county,Ringgold,,72
President/Vice President,,Castle,CST,county,Ringgold,,15
President/Vice President,,Stein,Grn,county,Ringgold,,8
President/Vice President,,McMullin,PEC,county,Ringgold,,7
President/Vice President,,Kahn,Oth,county,Ringgold,,5
President/Vice President,,Vacek,LMN,county,Ringgold,,2
President/Vice President,,De La Fuente,PEC,county,Ringgold,,2
President/Vice President,,La Riva,PSL,county,Ringgold,,0
President/Vice President,,Trump,GOP,county,Pottawattamie,,24441
President/Vice President,,Clinton,Dem,county,Pottawattamie,,15341
President/Vice President,,Johnson,Lib,county,Pottawattamie,,1467
President/Vice President,,Stein,Grn,county,Pottawattamie,,327
President/Vice President,,McMullin,PEC,county,Pottawattamie,,252
President/Vice President,,Kahn,Oth,county,Pottawattamie,,154
President/Vice President,,Vacek,LMN,county,Pottawattamie,,137
President/Vice President,,Castle,CST,county,Pottawattamie,,93
President/Vice President,,De La Fuente,PEC,county,Pottawattamie,,8
President/Vice President,,La Riva,PSL,county,Pottawattamie,,6
President/Vice President,,Trump,GOP,county,Poweshiek,,4936
President/Vice President,,Clinton,Dem,county,Poweshiek,,4272
President/Vice President,,Johnson,Lib,county,Poweshiek,,281
President/Vice President,,Stein,Grn,county,Poweshiek,,72
President/Vice President,,McMullin,PEC,county,Poweshiek,,46
President/Vice President,,Castle,CST,county,Poweshiek,,44
President/Vice President,,Vacek,LMN,county,Poweshiek,,20
President/Vice President,,Kahn,Oth,county,Poweshiek,,11
President/Vice President,,La Riva,PSL,county,Poweshiek,,8
President/Vice President,,De La Fuente,PEC,county,Poweshiek,,3
President/Vice President,,Trump,GOP,county,Pocahontas,,2692
President/Vice President,,Clinton,Dem,county,Pocahontas,,962
President/Vice President,,Johnson,Lib,county,Pocahontas,,115
President/Vice President,,Castle,CST,county,Pocahontas,,21
President/Vice President,,Stein,Grn,county,Pocahontas,,14
President/Vice President,,McMullin,PEC,county,Pocahontas,,14
President/Vice President,,Vacek,LMN,county,Pocahontas,,6
President/Vice President,,Kahn,Oth,county,Pocahontas,,6
President/Vice President,,De La Fuente,PEC,county,Pocahontas,,1
President/Vice President,,La Riva,PSL,county,Pocahontas,,0
President/Vice President,,Trump,GOP,county,Polk,,93421
President/Vice President,,Clinton,Dem,county,Polk,,119671
President/Vice President,,Johnson,Lib,county,Polk,,10009
President/Vice President,,McMullin,PEC,county,Polk,,2372
President/Vice President,,Stein,Grn,county,Polk,,1734
President/Vice President,,Castle,CST,county,Polk,,668
