office,district,candidate,party,reporting_level,jurisdiction,vote_type,votes
President/Vice President,,Kahn,Oth,county,Polk,,221
President/Vice President,,Vacek,LMN,county,Polk,,200
President/Vice President,,De La Fuente,PEC,county,Polk,,73
President/Vice President,,La Riva,PSL,county,Polk,,51
President/Vice President,,Trump,GOP,county,Dubuque,,23384
President/Vice President,,Clinton,Dem,county,Dubuque,,22774
President/Vice President,,Castle,CST,county,Dubuque,,1995
President/Vice President,,Johnson,Lib,county,Dubuque,,374
President/Vice President,,McMullin,PEC,county,Dubuque,,303
President/Vice President,,Stein,Grn,county,Dubuque,,87
President/Vice President,,Vacek,LMN,county,Dubuque,,60
President/Vice President,,Kahn,Oth,county,Dubuque,,35
President/Vice President,,De La Fuente,PEC,county,Dubuque,,13
President/Vice President,,La Riva,PSL,county,Dubuque,,12
President/Vice President,,Trump,GOP,county,Emmet,,3121
President/Vice President,,Clinton,Dem,county,Emmet,,1356
President/Vice President,,Johnson,Lib,county,Emmet,,138
President/Vice President,,Stein,Grn,county,Emmet,,26
President/Vice President,,Castle,CST,county,Emmet,,20
President/Vice President,,Kahn,Oth,county,Emmet,,16
President/Vice President,,McMullin,PEC,county,Emmet,,16
President/Vice President,,Vacek,LMN,county,Emmet,,13
President/Vice President,,La Riva,PSL,county,Emmet,,1
President/Vice President,,De La Fuente,PEC,county,Emmet,,0
President/Vice President,,Trump,GOP,county,Fayette,,5591
President/Vice President,,Clinton,Dem,county,Fayette,,3666
President/Vice President,,Johnson,Lib,county,Fayette,,326
President/Vice President,,McMullin,PEC,county,Fayette,,65
President/Vice President,,Stein,Grn,county,Fayette,,62
President/Vice President,,Castle,CST,county,Fayette,,41
President/Vice President,,Vacek,LMN,county,Fayette,,35
President/Vice President,,Kahn,Oth,county,Fayette,,23
President/Vice President,,De La Fuente,PEC,county,Fayette,,3
President/Vice President,,La Riva,PSL,county,Fayette,,1
President/Vice President,,Trump,GOP,county,Floyd,,4371
President/Vice President,,Clinton,Dem,county,Floyd,,3177
President/Vice President,,Johnson,Lib,county,Floyd,,241
President/Vice President,,McMullin,PEC,county,Floyd,,63
President/Vice President,,Stein,Grn,county,Floyd,,60
President/Vice President,,Castle,CST,county,Floyd,,43
President/Vice President,,Kahn,Oth,county,Floyd,,16
President/Vice President,,Vacek,LMN,county,Floyd,,8
President/Vice President,,De La Fuente,PEC,county,Floyd,,3
President/Vice President,,La Riva,PSL,county,Floyd,,3
President/Vice President,,Trump,GOP,county,Franklin,,3153
President/Vice President,,Clinton,Dem,county,Franklin,,1490
President/Vice President,,Johnson,Lib,county,Franklin,,187
President/Vice President,,Stein,Grn,county,Franklin,,31
President/Vice President,,McMullin,PEC,county,Franklin,,27
President/Vice President,,Castle,CST,county,Franklin,,16
President/Vice President,,Vacek,LMN,county,Franklin,,5
President/Vice President,,Kahn,Oth,county,Franklin,,4
President/Vice President,,De La Fuente,PEC,county,Franklin,,2
President/Vice President,,La Riva,PSL,county,Franklin,,0
President/Vice President,,Trump,GOP,county,Plymouth,,9659
President/Vice President,,Clinton,Dem,county,Plymouth,,2878
President/Vice President,,Johnson,Lib,county,Plymouth,,342
President/Vice President,,McMullin,PEC,county,Plymouth,,70
President/Vice President,,Stein,Grn,county,Plymouth,,52
President/Vice President,,Castle,CST,county,Plymouth,,33
President/Vice President,,Kahn,Oth,county,Plymouth,,14
President/Vice President,,Vacek,LMN,county,Plymouth,,5
President/Vice President,,La Riva,PSL,county,Plymouth,,3
President/Vice President,,De La Fuente,PEC,county,Plymouth,,1
President/Vice President,,Trump,GOP,county,Palo Alto,,3079
President/Vice President,,Clinton,Dem,county,Palo Alto,,1395
President/Vice President,,Johnson,Lib,county,Palo Alto,,131
President/Vice President,,Stein,Grn,county,Palo Alto,,20
President/Vice President,,Kahn,Oth,county,Palo Alto,,14
President/Vice President,,McMullin,PEC,county,Palo Alto,,13
President/Vice President,,Castle,CST,county,Palo Alto,,12
President/Vice President,,Vacek,LMN,county,Palo Alto,,9
President/Vice President,,La Riva,PSL,county,Palo Alto,,1
President/Vice President,,De La Fuente,PEC,county,Palo Alto,,0
President/Vice President,,Trump,GOP,county,Page,,4875
President/Vice President,,Clinton,Dem,county,Page,,1801
President/Vice President,,Johnson,Lib,county,Page,,174
President/Vice President,,Stein,Grn,county,Page,,37
President/Vice President,,McMullin,PEC,county,Page,,34
President/Vice President,,Castle,CST,county,Page,,30
President/Vice President,,Vacek,LMN,county,Page,,7
President/Vice President,,Kahn,Oth,county,Page,,7
President/Vice President,,De La Fuente,PEC,county,Page,,3
President/Vice President,,La Riva,PSL,county,Page,,0
President/Vice President,,Trump,GOP,county,Osceola,,2528
President/Vice President,,Clinton,Dem,county,Osceola,,552
President/Vice President,,Johnson,Lib,county,Osceola,,73
President/Vice President,,McMullin,PEC,county,Osceola,,20
President/Vice President,,Castle,CST,county,Osceola,,10
President/Vice President,,Stein,Grn,county,Osceola,,10
President/Vice President,,Kahn,Oth,county,Osceola,,3
President/Vice President,,La Riva,PSL,county,Osceola,,1
President/Vice President,,Vacek,LMN,county,Osceola,,0
President/Vice President,,De La Fuente,PEC,county,Osceola,,0
President/Vice President,,Trump,GOP,county,O'Brien,,5735
President/Vice President,,Clinton,Dem,county,O'Brien,,1314
President/Vice President,,Johnson,Lib,county,O'Brien,,195
President/Vice President,,McMullin,PEC,county,O'Brien,,30
President/Vice President,,Stein,Grn,county,O'Brien,,27
President/Vice President,,Castle,CST,county,O'Brien,,22
President/Vice President,,Kahn,Oth,county,O'Brien,,16
President/Vice President,,Vacek,LMN,county,O'Brien,,4
President/Vice President,,De La Fuente,PEC,county,O'Brien,,3
President/Vice President,,La Riva,PSL,county,O'Brien,,2
President/Vice President,,Trump,GOP,county,Greene,,2819
President/Vice President,,Clinton,Dem,county,Greene,,1688
President/Vice President,,Johnson,Lib,county,Greene,,160
President/Vice President,,Stein,Grn,county,Greene,,31
President/Vice President,,McMullin,PEC,county,Greene,,29
President/Vice President,,Castle,CST,county,Greene,,20
President/Vice President,,Vacek,LMN,county,Greene,,9
President/Vice President,,Kahn,Oth,county,Greene,,4
President/Vice President,,De La Fuente,PEC,county,Greene,,1
President/Vice President,,La Riva,PSL,county,Greene,,1
President/Vice President,,Trump,GOP,county,Fremont,,2401
President/Vice President,,Clinton,Dem,county,Fremont,,959
President/Vice President,,Johnson,Lib,county,Fremont,,115
President/Vice President,,Stein,Grn,county,Fremont,,21
President/Vice President,,McMullin,PEC,county,Fremont,,19
President/Vice President,,Castle,CST,county,Fremont,,15
President/Vice President,,Vacek,LMN,county,Fremont,,10
President/Vice President,,Kahn,Oth,county,Fremont,,9
President/Vice President,,De La Fuente,PEC,county,Fremont,,3
President/Vice President,,La Riva,PSL,county,Fremont,,2
President/Vice President,,Trump,GOP,county,Guthrie,,3603
President/Vice President,,Clinton,Dem,county,Guthrie,,1720
President/Vice President,,Johnson,Lib,county,Guthrie,,256
President/Vice President,,Castle,CST,county,Guthrie,,20
President/Vice President,,Stein,Grn,county,Guthrie,,18
President/Vice President,,Vacek,LMN,county,Guthrie,,15
President/Vice President,,McMullin,PEC,county,Guthrie,,15
President/Vice President,,Kahn,Oth,county,Guthrie,,7
President/Vice President,,De La Fuente,PEC,county,Guthrie,,0
President/Vice President,,La Riva,PSL,county,Guthrie,,0
President/Vice President,,Trump,GOP,county,Grundy,,4516
President/Vice President,,Clinton,Dem,county,Grundy,,1847
President/Vice President,,Johnson,Lib,county,Grundy,,233
President/Vice President,,McMullin,PEC,county,Grundy,,58
President/Vice President,,Stein,Grn,county,Grundy,,38
President/Vice President,,Castle,CST,county,Grundy,,37
President/Vice President,,Kahn,Oth,county,Grundy,,21
President/Vice President,,Vacek,LMN,county,Grundy,,11
President/Vice President,,De La Fuente,PEC,county,Grundy,,4
President/Vice President,,La Riva,PSL,county,Grundy,,1
President/Vice President,,Trump,GOP,county,Hamilton,,4450
President/Vice President,,Clinton,Dem,county,Hamilton,,2715
President/Vice President,,Johnson,Lib,county,Hamilton,,259
President/Vice President,,McMullin,PEC,county,Hamilton,,67
President/Vice President,,Castle,CST,county,Hamilton,,51
President/Vice President,,Stein,Grn,county,Hamilton,,31
President/Vice President,,Kahn,Oth,county,Hamilton,,8
President/Vice President,,Vacek,LMN,county,Hamilton,,5
President/Vice President,,De La Fuente,PEC,county,Hamilton,,3
President/Vice President,,La Riva,PSL,county,Hamilton,,0
President/Vice President,,Trump,GOP,county,Wapello,,8710
President/Vice President,,Clinton,Dem,county,Wapello,,5591
President/Vice President,,Johnson,Lib,county,Wapello,,380
President/Vice President,,Stein,Grn,county,Wapello,,121
President/Vice President,,McMullin,PEC,county,Wapello,,65
President/Vice President,,Castle,CST,county,Wapello,,49
President/Vice President,,Vacek,LMN,county,Wapello,,45
President/Vice President,,Kahn,Oth,county,Wapello,,30
President/Vice President,,De La Fuente,PEC,county,Wapello,,4
President/Vice President,,La Riva,PSL,county,Wapello,,1
President/Vice President,,Trump,GOP,county,Taylor,,2108
President/Vice President,,Clinton,Dem,county,Taylor,,755
President/Vice President,,Johnson,Lib,county,Taylor,,97
President/Vice President,,Castle,CST,county,Taylor,,14
President/Vice President,,McMullin,PEC,county,Taylor,,12
President/Vice President,,Stein,Grn,county,Taylor,,10
President/Vice President,,Kahn,Oth,county,Taylor,,3
President/Vice President,,Vacek,LMN,county,Taylor,,2
President/Vice President,,De La Fuente,PEC,county,Taylor,,2
President/Vice President,,La Riva,PSL,county,Taylor,,0
President/Vice President,,Trump,GOP,county,Tama,,4968
President/Vice President,,Clinton,Dem,county,Tama,,3194
President/Vice President,,Johnson,Lib,county,Tama,,244
President/Vice President,,Stein,Grn,county,Tama,,79
President/Vice President,,Castle,CST,county,Tama,,46
President/Vice President,,McMullin,PEC,county,Tama,,44
President/Vice President,,Vacek,LMN,county,Tama,,37
President/Vice President,,Kahn,Oth,county,Tama,,20
President/Vice President,,La Riva,PSL,county,Tama,,3
President/Vice President,,De La Fuente,PEC,county,Tama,,1
President/Vice President,,Trump,GOP,county,Van Buren,,2524
President/Vice President,,Clinton,Dem,county,Van Buren,,843
President/Vice President,,Johnson,Lib,county,Van Buren,,83
President/Vice President,,McMullin,PEC,county,Van Buren,,23
President/Vice President,,Castle,CST,county,Van Buren,,22
President/Vice President,,Stein,Grn,county,Van Buren,,19
President/Vice President,,Kahn,Oth,county,Van Buren,,8
President/Vice President,,Vacek,LMN,county,Van Buren,,3
President/Vice President,,De La Fuente,PEC,county,Van Buren,,1
President/Vice President,,La Riva,PSL,county,Van Buren,,0
President/Vice President,,Trump,GOP,county,Union,,3521
President/Vice President,,Clinton,Dem,county,Union,,1920
President/Vice President,,Johnson,Lib,county,Union,,212
President/Vice President,,Stein,Grn,county,Union,,52
President/Vice President,,Castle,CST,county,Union,,26
President/Vice President,,McMullin,PEC,county,Union,,18
President/Vice President,,Vacek,LMN,county,Union,,9
President/Vice President,,Kahn,Oth,county,Union,,9
President/Vice President,,De La Fuente,PEC,county,Union,,1
President/Vice President,,La Riva,PSL,county,Union,,0
President/Vice President,,Trump,GOP,county,Winneshiek,,5332
President/Vice President,,Clinton,Dem,county,Winneshiek,,5238
President/Vice President,,Johnson,Lib,county,Winneshiek,,381
President/Vice President,,McMullin,PEC,county,Winneshiek,,102
President/Vice President,,Stein,Grn,county,Winneshiek,,99
President/Vice President,,Castle,CST,county,Winneshiek,,35
President/Vice President,,Kahn,Oth,county,Winneshiek,,17
President/Vice President,,Vacek,LMN,county,Winneshiek,,13
President/Vice President,,De La Fuente,PEC,county,Winneshiek,,0
President/Vice President,,La Riva,PSL,county,Winneshiek,,0
President/Vice President,,Trump,GOP,county,Woodbury,,24627
President/Vice President,,Clinton,Dem,county,Woodbury,,16102
President/Vice President,,Johnson,Lib,county,Woodbury,,1173
President/Vice President,,Stein,Grn,county,Woodbury,,323
President/Vice President,,McMullin,PEC,county,Woodbury,,234
President/Vice President,,Castle,CST,county,Woodbury,,206
President/Vice President,,Vacek,LMN,county,Woodbury,,151
President/Vice President,,Kahn,Oth,county,Woodbury,,93
President/Vice President,,De La Fuente,PEC,county,Woodbury,,12
President/Vice President,,La Riva,PSL,county,Woodbury,,12
President/Vice President,,Trump,GOP,county,Worth,,2443
President/Vice President,,Clinton,Dem,county,Worth,,1523
President/Vice President,,Johnson,Lib,county,Worth,,165
President/Vice President,,McMullin,PEC,county,Worth,,34
President/Vice President,,Stein,Grn,county,Worth,,24
President/Vice President,,Castle,CST,county,Worth,,15
President/Vice President,,Kahn,Oth,county,Worth,,7
President/Vice President,,Vacek,LMN,county,Worth,,4
President/Vice President,,De La Fuente,PEC,county,Worth,,1
President/Vice President,,La Riva,PSL,county,Worth,,0
President/Vice President,,Trump,GOP,county,Wright,,3790
President/Vice President,,Clinton,Dem,county,Wright,,1890
President/Vice President,,Johnson,Lib,county,Wright,,175
President/Vice President,,Stein,Grn,county,Wright,,35
President/Vice President,,McMullin,PEC,county,Wright,,25
President/Vice President,,Castle,CST,county,Wright,,19
President/Vice President,,Vacek,LMN,county,Wright,,6
President/Vice President,,Kahn,Oth,county,Wright,,6
President/Vice President,,La Riva,PSL,county,Wright,,2
President/Vice President,,De La Fuente,PEC,county,Wright,,1
President/Vice President,,Trump,GOP,county,Shelby,,4340
President/Vice President,,Clinton,Dem,county,Shelby,,1649
President/Vice President,,Johnson,Lib,county,Shelby,,174
President/Vice President,,McMullin,PEC,county,Shelby,,38
President/Vice President,,Stein,Grn,county,Shelby,,28
President/Vice President,,Castle,CST,county,Shelby,,21
President/Vice President,,Kahn,Oth,county,Shelby,,12
President/Vice President,,Vacek,LMN,county,Shelby,,5
President/Vice President,,De La Fuente,PEC,county,Shelby,,2
President/Vice President,,La Riva,PSL,county,Shelby,,1
President/Vice President,,Trump,GOP,county,Sioux,,14761
President/Vice President,,Clinton,Dem,county,Sioux,,2289
President/Vice President,,Johnson,Lib,county,Sioux,,431
President/Vice President,,McMullin,PEC,county,Sioux,,351
President/Vice President,,Castle,CST,county,Sioux,,86
President/Vice President,,Stein,Grn,county,Sioux,,53
President/Vice President,,Kahn,Oth,county,Sioux,,9
President/Vice President,,Vacek,LMN,county,Sioux,,5
President/Vice President,,De La Fuente,PEC,county,Sioux,,4
President/Vice President,,La Riva,PSL,county,Sioux,,0
President/Vice President,,Trump,GOP,county,Sac,,3692
President/Vice President,,Clinton,Dem,county,Sac,,1269
President/Vice President,,Johnson,Lib,county,Sac,,129
President/Vice President,,Stein,Grn,county,Sac,,23
President/Vice President,,Castle,CST,county,Sac,,17
President/Vice President,,McMullin,PEC,county,Sac,,15
President/Vice President,,Kahn,Oth,county,Sac,,8
President/Vice President,,Vacek,LMN,county,Sac,,4
President/Vice President,,De La Fuente,PEC,county,Sac,,1
President/Vice President,,La Riva,PSL,county,Sac,,0
President/Vice President,,Trump,GOP,county,Dallas,,19288
President/Vice President,,Clinton,Dem,county,Dallas,,15662
President/Vice President,,Johnson,Lib,county,Dallas,,1749
President/Vice President,,McMullin,PEC,county,Dallas,,518
President/Vice President,,Stein,Grn,county,Dallas,,181
President/Vice President,,Castle,CST,county,Dallas,,142
President/Vice President,,Kahn,Oth,county,Dallas,,28
President/Vice President,,Vacek,LMN,county,Dallas,,26
President/Vice President,,De La Fuente,PEC,county,Dallas,,15
President/Vice President,,La Riva,PSL,county,Dallas,,8
President/Vice President,,Trump,GOP,county,Scott,,39083
President/Vice President,,Clinton,Dem,county,Scott,,40302
President/Vice President,,Johnson,Lib,county,Scott,,3547
President/Vice President,,Stein,Grn,county,Scott,,782
President/Vice President,,McMullin,PEC,county,Scott,,641
President/Vice President,,Castle,CST,county,Scott,,297
President/Vice President,,Vacek,LMN,county,Scott,,98
President/Vice President,,Kahn,Oth,county,Scott,,84
President/Vice President,,De La Fuente,PEC,county,Scott,,28
President/Vice President,,La Riva,PSL,county,Scott,,16
President/Vice President,,Trump,GOP,county,Crawford,,4608
President/Vice President,,Clinton,Dem,county,Crawford,,1985
President/Vice President,,Johnson,Lib,county,Crawford,,172
President/Vice President,,Stein,Grn,county,Crawford,,33
President/Vice President,,Castle,CST,county,Crawford,,25
President/Vice President,,McMullin,PEC,county,Crawford,,18
President/Vice President,,Kahn,Oth,county,Crawford,,7
President/Vice President,,Vacek,LMN,county,Crawford,,6
President/Vice President,,De La Fuente,PEC,county,Crawford,,6
President/Vice President,,La Riva,PSL,county,Crawford,,2
President/Vice President,,Trump,GOP,county,Clinton,,11249
President/Vice President,,Clinton,Dem,county,Clinton,,10079
President/Vice President,,Johnson,Lib,county,Clinton,,819
President/Vice President,,Stein,Grn,county,Clinton,,183
President/Vice President,,McMullin,PEC,county,Clinton,,134
President/Vice President,,Castle,CST,county,Clinton,,105
President/Vice President,,Vacek,LMN,county,Clinton,,102
President/Vice President,,Kahn,Oth,county,Clinton,,66
President/Vice President,,La Riva,PSL,county,Clinton,,6
President/Vice President,,De La Fuente,PEC,county,Clinton,,5
President/Vice President,,Trump,GOP,county,Clayton,,5309
President/Vice President,,Clinton,Dem,county,Clayton,,3236
President/Vice President,,Johnson,Lib,county,Clayton,,384
President/Vice President,,Stein,Grn,county,Clayton,,50
President/Vice President,,McMullin,PEC,county,Clayton,,47
President/Vice President,,Kahn,Oth,county,Clayton,,30
President/Vice President,,Vacek,LMN,county,Clayton,,22
President/Vice President,,Castle,CST,county,Clayton,,16
President/Vice President,,De La Fuente,PEC,county,Clayton,,3
President/Vice President,,La Riva,PSL,county,Clayton,,1
President/Vice President,,Trump,GOP,county,Story,,19111
President/Vice President,,Clinton,Dem,county,Story,,25085
President/Vice President,,Johnson,Lib,county,Story,,2963
President/Vice President,,McMullin,PEC,county,Story,,1037
President/Vice President,,Stein,Grn,county,Story,,475
President/Vice President,,Castle,CST,county,Story,,125
President/Vice President,,Kahn,Oth,county,Story,,61
President/Vice President,,Vacek,LMN,county,Story,,23
President/Vice President,,De La Fuente,PEC,county,Story,,15
President/Vice President,,La Riva,PSL,county,Story,,15
President/Vice President,,Trump,GOP,county,Clay,,5870
President/Vice President,,Clinton,Dem,county,Clay,,2246
President/Vice President,,Johnson,Lib,county,Clay,,286
President/Vice President,,McMullin,PEC,county,Clay,,58
President/Vice President,,Stein,Grn,county,Clay,,35
President/Vice President,,Castle,CST,county,Clay,,25
President/Vice President,,Kahn,Oth,county,Clay,,13
President/Vice President,,Vacek,LMN,county,Clay,,6
President/Vice President,,De La Fuente,PEC,county,Clay,,2
President/Vice President,,La Riva,PSL,county,Clay,,1
President/Vice President,,Trump,GOP,county,Winnebago,,3437
President/Vice President,,Clinton,Dem,county,Winnebago,,1920
President/Vice President,,Johnson,Lib,county,Winnebago,,218
President/Vice President,,McMullin,PEC,county,Winnebago,,49
President/Vice President,,Castle,CST,county,Winnebago,,36
President/Vice President,,Stein,Grn,county,Winnebago,,34
President/Vice President,,Kahn,Oth,county,Winnebago,,9
President/Vice President,,De La Fuente,PEC,county,Winnebago,,7
President/Vice President,,Vacek,LMN,county,Winnebago,,6
President/Vice President,,La Riva,PSL,county,Winnebago,,1
President/Vice President,,Trump,GOP,county,Washington,,6170
President/Vice President,,Clinton,Dem,county,Washington,,3938
President/Vice President,,Johnson,Lib,county,Washington,,458
President/Vice President,,McMullin,PEC,county,Washington,,92
President/Vice President,,Stein,Grn,county,Washington,,79
President/Vice President,,Castle,CST,county,Washington,,63
President/Vice President,,Vacek,LMN,county,Washington,,10
President/Vice President,,Kahn,Oth,county,Washington,,10
President/Vice President,,De La Fuente,PEC,county,Washington,,2
President/Vice President,,La Riva,PSL,county,Washington,,2
President/Vice President,,Trump,GOP,county,Warren,,14773
President/Vice President,,Clinton,Dem,county,Warren,,10371
President/Vice President,,Johnson,Lib,county,Warren,,1270
President/Vice President,,McMullin,PEC,county,Warren,,192
President/Vice President,,Castle,CST,county,Warren,,124
President/Vice President,,Stein,Grn,county,Warren,,122
President/Vice President,,Kahn,Oth,county,Warren,,28
President/Vice President,,Vacek,LMN,county,Warren,,17
President/Vice President,,De La Fuente,PEC,county,Warren,,12
President/Vice President,,La Riva,PSL,county,Warren,,7
President/Vice President,,Trump,GOP,county,Webster,,10049
President/Vice President,,Clinton,Dem,county,Webster,,6293
President/Vice President,,Johnson,Lib,county,Webster,,568
President/Vice President,,Stein,Grn,county,Webster,,113
President/Vice President,,McMullin,PEC,county,Webster,,104
President/Vice President,,Castle,CST,county,Webster,,64
President/Vice President,,Vacek,LMN,county,Webster,,24
President/Vice President,,Kahn,Oth,county,Webster,,16
President/Vice President,,De La Fuente,PEC,county,Webster,,5
President/Vice President,,La Riva,PSL,county,Webster,,3
President/Vice President,,Trump,GOP,county,Wayne,,2069
President/Vice President,,Clinton,Dem,county,Wayne,,719
President/Vice President,,Johnson,Lib,county,Wayne,,78
President/Vice President,,McMullin,PEC,county,Wayne,,20
President/Vice President,,Stein,Grn,county,Wayne,,17
President/Vice President,,Castle,CST,county,Wayne,,10
President/Vice President,,Kahn,Oth,county,Wayne,,4
President/Vice President,,Vacek,LMN,county,Wayne,,3
President/Vice President,,De La Fuente,PEC,county,Wayne,,1
President/Vice President,,La Riva,PSL,county,Wayne,,0
President/Vice President,,Trump,GOP,county,Lee,,8762
President/Vice President,,Clinton,Dem,county,Lee,,6195
President/Vice President,,Johnson,Lib,county,Lee,,502
President/Vice President,,Stein,Grn,county,Lee,,145
President/Vice President,,McMullin,PEC,county,Lee,,84
President/Vice President,,Vacek,LMN,county,Lee,,78
President/Vice President,,Castle,CST,county,Lee,,77
President/Vice President,,Kahn,Oth,county,Lee,,38
President/Vice President,,De La Fuente,PEC,county,Lee,,7
President/Vice President,,La Riva,PSL,county,Lee,,5
President/Vice President,,Trump,GOP,county,Dickinson,,6743
President/Vice President,,Clinton,Dem,county,Dickinson,,3051
President/Vice President,,Johnson,Lib,county,Dickinson,,291
President/Vice President,,Stein,Grn,county,Dickinson,,54
President/Vice President,,McMullin,PEC,county,Dickinson,,49
President/Vice President,,Castle,CST,county,Dickinson,,31
President/Vice President,,Vacek,LMN,county,Dickinson,,14
President/Vice President,,Kahn,Oth,county,Dickinson,,8
President/Vice President,,De La Fuente,PEC,county,Dickinson,,6
President/Vice President,,La Riva,PSL,county,Dickinson,,0
President/Vice President,,Trump,GOP,county,Linn,,48183
President/Vice President,,Clinton,Dem,county,Linn,,58481
President/Vice President,,Johnson,Lib,county,Linn,,5510
President/Vice President,,Stein,Grn,county,Linn,,994
