updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Total,,,,,,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,14605,,,,,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Over Votes,,,,,,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,4,,,,,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Under Votes,,,,,,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,3834,,,,,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Write-In,,,,,,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,210,,,,True,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Charles Isenhart,,,,,Democratic,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,10557,,,,,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Total,,,,,,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,6972,,,,,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Over Votes,,,,,,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,4,,,,,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Under Votes,,,,,,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,1623,,,,,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Write-In,,,,,,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,75,,,,True,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Charles Isenhart,,,,,Democratic,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,5270,,,,,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Total,,,,,,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,7633,,,,,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Over Votes,,,,,,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,0,,,,,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Under Votes,,,,,,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,2211,,,,,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Write-In,,,,,,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,135,,,,True,2012
2015-12-28 20:41:52.108000,ia-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Representative,100,Charles Isenhart,,,,,Democratic,,Dubuque,ocd-division/country:us/state:ia/county:dubuque,5287,,,,,2012
