fips,name,dem_total,gop_total,other_total,novote_total,grand_total,leader,leader_total,margin
19145,PAGE,2211,5243,59,0,7513,gop,5243,3032
19147,PALO ALTO,2482,2674,35,0,5191,gop,2674,192
19149,PLYMOUTH,4278,7810,134,0,12222,gop,7810,3532
19151,POCAHONTAS,1822,2441,50,0,4313,gop,2441,619
19153,POLK,105218,95828,1572,0,202618,dem,105218,9390
19155,POTTAWATTAMIE,16906,24558,356,0,41820,gop,24558,7652
19157,POWESHIEK,5043,4965,83,0,10091,dem,5043,78
19159,RINGGOLD,1286,1466,26,0,2778,gop,1466,180
19161,SAC,2215,3128,31,0,5374,gop,3128,913
19163,SCOTT,42122,39958,642,0,82722,dem,42122,2164
19165,SHELBY,2355,4256,59,0,6670,gop,4256,1901
19167,SIOUX,2259,14229,82,0,16570,gop,14229,11970
19169,STORY,23296,20819,537,0,44652,dem,23296,2477
19171,TAMA,4487,4456,58,0,9001,dem,4487,31
19173,TAYLOR,1252,1908,30,0,3190,gop,1908,656
19175,UNION,2747,3165,66,0,5978,gop,3165,418
19177,VAN BUREN,1568,2211,57,0,3836,gop,2211,643
19179,WAPELLO,9125,7403,179,0,16707,dem,9125,1722
19181,WARREN,10730,12160,163,0,23053,gop,12160,1430
19183,WASHINGTON,4595,5977,116,0,10688,gop,5977,1382
19185,WAYNE,1379,1733,21,0,3133,gop,1733,354
19187,WEBSTER,9561,8959,111,0,18631,dem,9561,602
19189,WINNEBAGO,2707,3175,70,0,5952,gop,3175,468
19191,WINNESHIEK,5354,5324,106,0,10784,dem,5354,30
19193,WOODBURY,21455,22451,289,0,44195,gop,22451,996
19195,WORTH,2286,1795,42,0,4123,dem,2286,491
19197,WRIGHT,2930,3631,42,0,6603,gop,3631,701
