fips,name,dem_total,gop_total,other_total,novote_total,grand_total,leader,leader_total,margin
19001,Adair,1127,2456,176,0,3759,gop,2456,1329
19003,Adams,565,1393,124,0,2082,gop,1393,828
19005,Allamakee,2409,4072,356,0,6837,gop,4072,1663
19007,Appanoose,1813,4031,252,0,6096,gop,4031,2218
19009,Audubon,1079,2135,165,0,3379,gop,2135,1056
19011,Benton,4672,8226,792,0,13690,gop,8226,3554
19013,Black Hawk,32006,27382,3833,0,63221,dem,32006,4624
19015,Boone,5517,7458,1009,0,13984,gop,7458,1941
19017,Bremer,5349,7199,802,0,13350,gop,7199,1850
19019,Buchanan,3966,5504,667,0,10137,gop,5504,1538
19021,Buena Vista,2851,4895,433,0,8179,gop,4895,2044
19023,Butler,2163,4918,376,0,7457,gop,4918,2755
19025,Calhoun,1396,3466,243,0,5105,gop,3466,2070
19027,Carroll,3305,6627,503,0,10435,gop,6627,3322
19029,Cass,1946,4755,354,0,7055,gop,4755,2809
19031,Cedar,3578,5275,533,0,9386,gop,5275,1697
19033,Cerro Gordo,9840,11583,1210,0,22633,gop,11583,1743
19035,Cherokee,1676,4188,322,0,6186,gop,4188,2512
19037,Chickasaw,2264,3739,364,0,6367,gop,3739,1475
19039,Clarke,1463,2706,236,0,4405,gop,2706,1243
19041,Clay,2246,5870,426,0,8542,gop,5870,3624
19043,Clayton,3236,5309,553,0,9098,gop,5309,2073
19045,Clinton,10079,11249,1420,0,22748,gop,11249,1170
19047,Crawford,1985,4608,269,0,6862,gop,4608,2623
19049,Dallas,15662,19288,2667,0,37617,gop,19288,3626
19051,Davis,976,2721,161,0,3858,gop,2721,1745
19053,Decatur,1201,2296,206,0,3703,gop,2296,1095
19055,Delaware,2956,5688,521,0,9165,gop,5688,2732
19057,Des Moines,8178,9479,1056,0,18713,gop,9479,1301
19059,Dickinson,3051,6743,453,0,10247,gop,6743,3692
19061,Dubuque,22774,23384,2879,0,49037,gop,23384,610
19063,Emmet,1356,3121,230,0,4707,gop,3121,1765
19065,Fayette,3666,5591,556,0,9813,gop,5591,1925
19067,Floyd,3177,4371,437,0,7985,gop,4371,1194
19069,Franklin,1490,3153,272,0,4915,gop,3153,1663
19071,Fremont,959,2401,194,0,3554,gop,2401,1442
19073,Greene,1688,2819,255,0,4762,gop,2819,1131
19075,Grundy,1847,4516,403,0,6766,gop,4516,2669
19077,Guthrie,1720,3603,331,0,5654,gop,3603,1883
19079,Hamilton,2715,4450,424,0,7589,gop,4450,1735
19081,Hancock,1582,3972,261,0,5815,gop,3972,2390
19083,Hardin,2774,5231,418,0,8423,gop,5231,2457
19085,Harrison,2123,4892,363,0,7378,gop,4892,2769
19087,Henry,2897,5764,625,0,9286,gop,5764,2867
19089,Howard,1674,2611,222,0,4507,gop,2611,937
19091,Humboldt,1251,3564,218,0,5033,gop,3564,2313
19093,Ida,792,2655,143,0,3590,gop,2655,1863
19095,Iowa,3070,5193,526,0,8789,gop,5193,2123
19097,Jackson,3837,5821,546,0,10204,gop,5821,1984
19099,Jasper,7108,10556,1112,0,18776,gop,10556,3448
19101,Jefferson,3702,3738,561,0,8001,gop,3738,36
19103,Johnson,49942,20993,4702,0,75637,dem,49942,28949
19105,Jones,3779,5718,514,0,10011,gop,5718,1939
19107,Keokuk,1265,3385,208,0,4858,gop,3385,2120
19109,Kossuth,2529,5637,339,0,8505,gop,5637,3108
19111,Lee,6195,8762,936,0,15893,gop,8762,2567
19113,Linn,58481,48183,8000,0,114664,dem,58481,10298
19115,Louisa,1643,3060,240,0,4943,gop,3060,1417
19117,Lucas,1236,2873,188,0,4297,gop,2873,1637
19119,Lyon,917,5188,231,0,6336,gop,5188,4271
19121,Madison,2666,5336,521,0,8523,gop,5336,2670
19123,Mahaska,2606,7404,484,0,10494,gop,7404,4798
19125,Marion,5469,10940,1145,0,17554,gop,10940,5471
19127,Marshall,7623,9125,952,0,17700,gop,9125,1502
19129,Mills,2080,5050,478,0,7608,gop,5050,2970
19131,Mitchell,1879,3180,301,0,5360,gop,3180,1301
19133,Monona,1244,3115,166,0,4525,gop,3115,1871
19135,Monroe,1053,2635,156,0,3844,gop,2635,1582
19137,Montgomery,1312,3431,255,0,4998,gop,3431,2119
19139,Muscatine,8284,9549,1253,0,19086,gop,9549,1265
19141,O'Brien,1314,5735,299,0,7348,gop,5735,4421
19143,Osceola,552,2528,117,0,3197,gop,2528,1976
19145,Page,1801,4875,292,0,6968,gop,4875,3074
19147,Palo Alto,1395,3079,200,0,4674,gop,3079,1684
19149,Plymouth,2878,9659,520,0,13057,gop,9659,6781
19151,Pocahontas,962,2692,177,0,3831,gop,2692,1730
19153,Polk,119671,93421,15328,0,228420,dem,119671,26250
19155,Pottawattamie,15341,24441,2444,0,42226,gop,24441,9100
19157,Poweshiek,4272,4936,485,0,9693,gop,4936,664
19159,Ringgold,753,1820,111,0,2684,gop,1820,1067
19161,Sac,1269,3692,197,0,5158,gop,3692,2423
19163,Scott,40302,39083,5493,0,84878,dem,40302,1219
19165,Shelby,1649,4340,281,0,6270,gop,4340,2691
19167,Sioux,2289,14761,939,0,17989,gop,14761,12472
19169,Story,25085,19111,4714,0,48910,dem,25085,5974
19171,Tama,3194,4968,474,0,8636,gop,4968,1774
19173,Taylor,755,2108,140,0,3003,gop,2108,1353
19175,Union,1920,3521,327,0,5768,gop,3521,1601
19177,Van Buren,843,2524,159,0,3526,gop,2524,1681
19179,Wapello,5591,8710,695,0,14996,gop,8710,3119
19181,Warren,10371,14773,1772,0,26916,gop,14773,4402
19183,Washington,3938,6170,716,0,10824,gop,6170,2232
19185,Wayne,719,2069,133,0,2921,gop,2069,1350
19187,Webster,6293,10049,897,0,17239,gop,10049,3756
19189,Winnebago,1920,3437,360,0,5717,gop,3437,1517
19191,Winneshiek,5238,5332,647,0,11217,gop,5332,94
19193,Woodbury,16102,24627,2204,0,42933,gop,24627,8525
19195,Worth,1523,2443,250,0,4216,gop,2443,920
19197,Wright,1890,3790,269,0,5949,gop,3790,1900
